ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10248081,HY435797,09/23/2015 10:00:00 PM,037XX W WINDSOR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,false,true,1723,017,39,14,08B,1150503,1929974,2015,09/30/2015 03:35:37 PM,41.963751592,-87.722036048,"(41.963751592, -87.722036048)"
10249274,HY436646,09/23/2015 10:00:00 PM,027XX W 15TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,HOSPITAL BUILDING/GROUNDS,false,false,1023,010,28,29,14,1158277,1892276,2015,09/30/2015 03:35:37 PM,41.860149538,-87.694485803,"(41.860149538, -87.694485803)"
10248316,HY436037,09/23/2015 10:00:00 PM,011XX N MASON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1511,015,29,25,14,1136491,1906903,2015,09/30/2015 03:35:37 PM,41.900704994,-87.77410771,"(41.900704994, -87.77410771)"
10249237,HY436437,09/23/2015 10:00:00 PM,003XX W VAN BUREN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,0122,001,2,32,11,1174200,1898474,2015,09/30/2015 03:35:37 PM,41.876817275,-87.635852128,"(41.876817275, -87.635852128)"
10248186,HY435783,09/23/2015 10:00:00 PM,080XX S HARVARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0623,006,17,44,08B,1175350,1851698,2015,09/30/2015 03:35:37 PM,41.748433888,-87.633029308,"(41.748433888, -87.633029308)"
10249427,HY436900,09/23/2015 10:00:00 PM,032XX S GREEN ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0913,009,11,60,06,1171230,1883493,2015,09/30/2015 03:35:37 PM,41.835773926,-87.647196522,"(41.835773926, -87.647196522)"
10248134,HY435823,09/23/2015 09:57:00 PM,012XX W 63RD ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0724,007,16,67,04B,1169316,1863009,2015,09/30/2015 03:35:37 PM,41.779605366,-87.654813009,"(41.779605366, -87.654813009)"
10248143,HY435813,09/23/2015 09:51:00 PM,046XX S HARDING AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0821,008,14,57,03,1150803,1873650,2015,09/30/2015 03:35:37 PM,41.809186683,-87.722407343,"(41.809186683, -87.722407343)"
10248193,HY435806,09/23/2015 09:50:00 PM,045XX W 64TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0813,008,13,65,26,1147257,1861449,2015,09/30/2015 03:35:37 PM,41.775773644,-87.735724669,"(41.775773644, -87.735724669)"
10248110,HY435781,09/23/2015 09:50:00 PM,042XX W MADISON ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CONVENIENCE STORE,false,false,1115,011,28,26,10,1148227,1899678,2015,09/30/2015 03:35:37 PM,41.880660786,-87.731186405,"(41.880660786, -87.731186405)"
10248055,HY435789,09/23/2015 09:50:00 PM,007XX N KEDZIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1221,012,27,23,18,1154904,1904850,2015,09/30/2015 03:35:37 PM,41.894722089,-87.706530176,"(41.894722089, -87.706530176)"
10248144,HY435816,09/23/2015 09:45:00 PM,079XX S MAY ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0612,006,17,71,26,1170033,1852051,2015,09/30/2015 03:35:37 PM,41.749519667,-87.652502378,"(41.749519667, -87.652502378)"
10248142,HY435870,09/23/2015 09:45:00 PM,009XX W LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1914,019,46,3,14,1169113,1932066,2015,09/30/2015 03:35:37 PM,41.969107389,-87.653552149,"(41.969107389, -87.653552149)"
10249643,HY435801,09/23/2015 09:42:00 PM,079XX S LAFLIN ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0612,006,21,71,06,1167710,1852276,2015,09/30/2015 03:35:37 PM,41.750187225,-87.661008365,"(41.750187225, -87.661008365)"
10248292,HY436014,09/23/2015 09:40:00 PM,084XX S MARYLAND AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0632,006,8,44,06,1183360,1849300,2015,09/30/2015 03:35:37 PM,41.741670871,-87.603752655,"(41.741670871, -87.603752655)"
10248160,HY435767,09/23/2015 09:40:00 PM,055XX W NORTH AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,true,false,2532,025,37,25,26,1138971,1910083,2015,09/30/2015 03:35:37 PM,41.909386568,-87.764920978,"(41.909386568, -87.764920978)"
